YearBuilt,ExteriorCondition,GarageCondition,LotArea,FullBath,SalePrice,Fireplaces,TotalRooms,Street,HouseStyle,GarageType,Neighborhood,Latitude,Longitude
1970,Typical,Typical,2217,1,88000,0,6,Pave,Two_Story,Attchd,Meadow_Village,41.991786,-93.60176
1974,Typical,Typical,8410,1,143000,1,5,Pave,SFoyer,Attchd,Mitchell,41.994188,-93.601779
1970,Typical,No_Garage,1900,1,88250,0,5,Pave,Two_Story,No_Garage,Meadow_Village,41.9917,-93.601806
1970,Typical,No_Garage,1495,1,93900,0,5,Pave,Two_Story,No_Garage,Meadow_Village,41.992479,-93.601827
1970,Typical,No_Garage,1526,1,79500,0,5,Pave,Two_Story,No_Garage,Meadow_Village,41.992497,-93.601844
1970,Typical,Typical,1533,1,106500,0,4,Pave,SLvl,BuiltIn,Meadow_Village,41.992516,-93.601862
1970,Typical,Typical,1533,1,87550,0,5,Pave,Two_Story,CarPort,Meadow_Village,41.992522,-93.6019
1970,Typical,No_Garage,1533,1,97000,1,6,Pave,Two_Story,No_Garage,Meadow_Village,41.992539,-93.601975
1976,Typical,Typical,12760,3,170000,0,9,Pave,One_Story,More_Than_Two_Types,Mitchell,41.994013,-93.602002
1970,Typical,No_Garage,1533,1,92000,0,3,Pave,SFoyer,No_Garage,Meadow_Village,41.992533,-93.602043
1970,Typical,No_Garage,1936,1,84500,0,3,Pave,SFoyer,No_Garage,Meadow_Village,41.991641,-93.602094
1970,Typical,Typical,1894,1,71000,0,6,Pave,Two_Story,CarPort,Meadow_Village,41.991532,-93.602345
1990,Typical,Typical,9947,2,173000,0,6,Pave,SLvl,Attchd,Mitchell,41.995905,-93.602356
1991,Typical,Typical,11070,2,152000,0,5,Pave,One_Story,Detchd,Mitchell,41.996066,-93.602424
1991,Typical,Typical,9990,2,228500,1,6,Pave,One_Story,Attchd,Mitchell,41.995991,-93.602429
1991,Typical,Typical,9928,2,210000,1,6,Pave,One_Story,Attchd,Mitchell,41.995931,-93.602505
1971,Typical,No_Garage,6723,1,138000,0,5,Pave,SFoyer,No_Garage,Mitchell,41.991144,-93.602559
1983,Typical,Typical,8885,1,131000,0,5,Pave,One_Story,Attchd,Mitchell,41.988314,-93.60268
1992,Typical,Typical,7669,1,149000,1,5,Pave,SFoyer,Detchd,Mitchell,41.987659,-93.602777
1977,Typical,Typical,9620,2,190000,1,6,Pave,SLvl,Attchd,Mitchell,41.997052,-93.602823
1976,Typical,Typical,10260,2,100000,0,8,Pave,Two_Story,Attchd,Mitchell,41.996903,-93.602912
1985,Poor,Fair,7700,4,159000,0,10,Pave,Two_Story,Attchd,Mitchell,41.98766,-93.6030339
1983,Typical,Typical,11625,1,139000,0,4,Pave,One_Story,Attchd,Mitchell,41.9881729,-93.6030815
1970,Typical,Typical,1477,1,80000,0,3,Pave,SFoyer,Attchd,Meadow_Village,41.99217,-93.603111
1977,Typical,Typical,10530,1,135000,0,4,Pave,SFoyer,Attchd,Mitchell,41.996907,-93.603173
1970,Good,No_Garage,1477,2,98000,0,6,Pave,Two_Story,No_Garage,Meadow_Village,41.992133,-93.603178
1970,Typical,No_Garage,1470,1,73000,0,3,Pave,SFoyer,No_Garage,Meadow_Village,41.992303,-93.603181
1972,Typical,Typical,1890,1,85500,0,5,Pave,Two_Story,Attchd,Meadow_Village,41.991824,-93.603398
1976,Typical,Typical,1890,1,75190,0,6,Pave,Two_Story,Attchd,Meadow_Village,41.991868,-93.603422
1970,Typical,No_Garage,1476,1,76000,0,5,Pave,Two_Story,No_Garage,Meadow_Village,41.992212,-93.603435
1972,Good,No_Garage,1890,1,81000,0,3,Pave,SFoyer,No_Garage,Meadow_Village,41.991933,-93.603458
1970,Good,Typical,1526,1,86000,0,3,Pave,SFoyer,Attchd,Meadow_Village,41.992185,-93.603479
1973,Typical,Typical,3964,2,151400,1,10,Pave,Two_Story,Attchd,Meadow_Village,41.991731,-93.603518
1972,Typical,Fair,1484,1,79400,0,5,Pave,Two_Story,Attchd,Meadow_Village,41.992159,-93.603524
1976,Typical,Typical,9297,2,188000,0,8,Pave,One_Story,Detchd,Mitchell,41.990134,-93.603534
1984,Typical,Typical,12887,1,149900,0,5,Pave,One_Story,Attchd,Mitchell,41.9889358,-93.6035354
1972,Typical,Typical,1504,1,85500,0,5,Pave,Two_Story,Attchd,Meadow_Village,41.992145,-93.603546
1973,Typical,Typical,1974,1,83500,0,6,Pave,Two_Story,Attchd,Meadow_Village,41.991861,-93.60359
1972,Typical,No_Garage,1491,1,75500,0,3,Pave,SFoyer,No_Garage,Meadow_Village,41.992119,-93.60359
1973,Good,Typical,1974,1,105000,0,5,Pave,SFoyer,BuiltIn,Meadow_Village,41.991883,-93.603601
2001,Typical,Typical,9116,2,209000,0,7,Pave,One_Story,Attchd,Mitchell,41.995987,-93.603671
1962,Typical,Typical,6600,1,109500,0,5,Pave,One_Story,Detchd,North_Ames,42.035287,-93.603701
1962,Typical,Typical,7590,2,169500,1,8,Pave,Two_Story,Attchd,North_Ames,42.035423,-93.603701
1963,Typical,Typical,7590,1,136870,0,6,Pave,One_Story,Attchd,North_Ames,42.035724,-93.603702
1962,Typical,Typical,6600,1,125500,0,5,Pave,One_Story,Detchd,North_Ames,42.0346,-93.603703
1966,Typical,Typical,7590,1,155000,1,6,Pave,Two_Story,Attchd,North_Ames,42.036792,-93.603704
1966,Typical,Typical,7700,1,155000,1,7,Pave,Two_Story,Attchd,North_Ames,42.037093,-93.603705
2001,Typical,Typical,12209,2,215000,1,7,Pave,Two_Story,BuiltIn,Mitchell,41.99539,-93.603717
1984,Typical,Typical,12395,1,137500,0,6,Pave,One_Story,Attchd,Mitchell,41.986498,-93.603722
1988,Typical,Typical,11070,3,171000,0,9,Pave,One_Story,More_Than_Two_Types,Mitchell,41.996063,-93.603854
1985,Typical,No_Garage,8780,1,112000,0,5,Pave,One_Story,No_Garage,Mitchell,41.988222,-93.603867
1963,Typical,Typical,7936,1,127000,1,6,Pave,One_Story,Attchd,North_Ames,42.038257,-93.603879
1982,Typical,Typical,6600,1,134500,0,6,Pave,One_Story,Attchd,Mitchell,41.987289,-93.603886
1982,Good,Typical,6600,1,138000,0,4,Pave,One_Story,Detchd,Mitchell,41.988076,-93.603916
1982,Good,Typical,6600,1,130500,1,5,Pave,One_Story,Attchd,Mitchell,41.98811,-93.603917
1977,Typical,Typical,2665,2,127000,1,6,Pave,Two_Story,Attchd,Meadow_Village,41.990523,-93.603922
2003,Typical,Typical,9196,2,201000,0,7,Pave,One_Story,Attchd,Mitchell,41.996065,-93.603972
1978,Good,Typical,8604,1,145000,0,4,Pave,SFoyer,Attchd,North_Ames,42.038948,-93.604047
1960,Typical,Typical,27650,2,242000,1,9,Pave,One_Story,Attchd,North_Ames,42.039568,-93.604106
1982,Typical,Typical,8314,1,124500,0,5,Pave,One_Story,Attchd,Mitchell,41.98822,-93.604146
1956,Typical,Typical,8626,1,104500,0,5,Pave,One_Story,Attchd,Old_Town,42.0272605,-93.6041765
1976,Typical,Typical,2665,2,129500,1,6,Pave,Two_Story,Attchd,Meadow_Village,41.990899,-93.604184
1920,Typical,Fair,9000,1,65000,0,5,Grvl,Two_Story,Detchd,Iowa_DOT_and_Rail_Road,42.022626,-93.604193
1935,Typical,Typical,18000,1,81000,0,6,Grvl,One_Story,Detchd,Iowa_DOT_and_Rail_Road,42.022458,-93.604195
1968,Typical,Typical,9858,1,130000,0,5,Pave,One_Story,Attchd,Mitchell,41.992919,-93.604218
1973,Typical,Typical,1596,1,91000,0,5,Pave,SLvl,BuiltIn,Meadow_Village,41.991786,-93.604252
1968,Typical,Typical,12518,1,139500,0,6,Pave,One_Story,Attchd,Mitchell,41.9935397,-93.6042638
1973,Typical,Typical,1596,1,94900,1,4,Pave,SLvl,BuiltIn,Meadow_Village,41.991779,-93.604269
1968,Typical,Typical,10172,1,126500,0,5,Pave,One_Story,Attchd,Mitchell,41.993062,-93.604279
1973,Typical,Typical,2394,1,119500,1,5,Pave,One_Story,Attchd,Meadow_Village,41.991758,-93.604318
1916,Typical,No_Garage,8520,1,78000,0,6,Grvl,One_and_Half_Fin,No_Garage,Iowa_DOT_and_Rail_Road,42.022603,-93.604344
1958,Typical,Typical,8516,1,115500,0,5,Pave,One_Story,Detchd,Old_Town,42.0272664,-93.6043548
1977,Typical,Typical,2665,1,104500,1,5,Pave,Two_Story,BuiltIn,Meadow_Village,41.990993,-93.604391
1976,Typical,Typical,2592,1,85000,0,4,Pave,Two_Story,Attchd,Meadow_Village,41.991876,-93.604425
1976,Typical,Typical,12640,2,150900,0,8,Pave,One_Story,Attchd,Mitchell,41.9900428,-93.6044746
1956,Typical,Typical,12702,1,97000,0,4,Pave,One_Story,Detchd,Old_Town,42.026691,-93.604486
1977,Typical,Typical,9360,1,173000,2,5,Pave,SFoyer,Attchd,Mitchell,41.997069,-93.604491
1977,Typical,Typical,10125,2,126000,0,8,Pave,One_and_Half_Fin,Attchd,Mitchell,41.996919,-93.604519
1977,Typical,Typical,15957,2,188000,1,6,Pave,SLvl,Attchd,Mitchell,41.989581,-93.604521
1977,Typical,Typical,8286,1,157000,1,6,Pave,Two_Story,Attchd,Mitchell,41.989488,-93.604524
1977,Typical,Typical,10125,2,171500,2,6,Pave,One_Story,Detchd,Mitchell,41.996919,-93.604548
1977,Typical,Typical,9880,1,171000,1,6,Pave,SLvl,Attchd,Mitchell,41.997069,-93.604549
1962,Typical,Typical,6760,1,130000,1,6,Pave,SFoyer,Attchd,North_Ames,42.035034,-93.604562
1962,Typical,Typical,7000,1,105000,0,5,Pave,One_Story,Attchd,North_Ames,42.034753,-93.604568
1977,Typical,Typical,9129,1,153500,1,4,Pave,SFoyer,Attchd,Mitchell,41.991098,-93.604644
1976,Typical,Typical,2665,1,115000,1,4,Pave,Two_Story,BuiltIn,Meadow_Village,41.991372,-93.604649
1962,Typical,Typical,7400,1,120000,0,6,Pave,One_Story,Detchd,North_Ames,42.034618,-93.604687
1977,Typical,Typical,9750,1,156450,1,5,Pave,SFoyer,Attchd,Mitchell,41.997067,-93.604716
1984,Typical,Typical,6951,1,119500,0,5,Pave,One_Story,Attchd,Mitchell,41.988934,-93.604761
1930,Typical,Fair,9439,1,87000,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0268089,-93.6047622
1984,Typical,Typical,7937,1,142500,0,6,Pave,SLvl,Detchd,Mitchell,41.988964,-93.604776
1963,Typical,Typical,9760,1,192000,1,7,Pave,One_Story,Attchd,North_Ames,42.036873,-93.604835
1964,Typical,Typical,9760,2,187000,1,7,Pave,Two_Story,Attchd,North_Ames,42.036949,-93.604836
1964,Typical,Typical,9760,1,167900,0,7,Pave,Two_Story,Attchd,North_Ames,42.037025,-93.604837
1984,Typical,Typical,10447,1,124500,0,5,Pave,One_Story,Attchd,Mitchell,41.986588,-93.604858
1982,Typical,Typical,7599,1,129500,0,4,Pave,One_Story,Detchd,Mitchell,41.987606,-93.604858
1996,Typical,Typical,11050,2,213000,1,8,Pave,Two_Story,Attchd,Mitchell,41.997062,-93.60489
1976,Typical,Typical,11333,1,146800,2,5,Pave,SLvl,Attchd,Mitchell,41.991612,-93.604923
1978,Good,Typical,9101,1,165500,1,4,Pave,SFoyer,Attchd,Mitchell,41.988776,-93.604928
1998,Typical,Typical,11050,2,254900,1,8,Pave,Two_Story,Attchd,Mitchell,41.99706,-93.604947
1963,Typical,Typical,7056,1,140000,1,8,Pave,Two_Story,Attchd,North_Ames,42.036973,-93.604986
1964,Typical,Typical,7570,1,144750,0,8,Pave,Two_Story,Attchd,North_Ames,42.037049,-93.604987
1962,Typical,No_Garage,7000,1,124000,0,6,Pave,SFoyer,No_Garage,North_Ames,42.0345614,-93.6050674
1983,Good,Typical,6490,1,128500,0,4,Pave,One_Story,Attchd,Mitchell,41.987109,-93.6051072
1949,Typical,Typical,11800,2,110000,1,6,Pave,SLvl,Attchd,Old_Town,42.0272703,-93.6051157
1976,Typical,Typical,11000,1,135000,0,6,Pave,One_Story,Attchd,Mitchell,41.989768,-93.605119
1958,Typical,Typical,11355,1,186000,1,6,Pave,One_Story,Attchd,North_Ames,42.041173,-93.605189
1920,Typical,No_Garage,7879,1,34900,0,4,Pave,One_Story,No_Garage,Iowa_DOT_and_Rail_Road,42.023218,-93.605207
1975,Typical,Typical,4224,1,124000,0,6,Pave,One_Story,Attchd,Meadow_Village,41.99261,-93.605351
1976,Typical,Typical,4224,1,134000,1,6,Pave,One_Story,Attchd,Meadow_Village,41.99284,-93.605354
1976,Typical,Typical,4224,1,129900,1,6,Pave,One_Story,Attchd,Meadow_Village,41.992917,-93.605355
1959,Typical,Typical,11650,2,157500,1,5,Pave,One_Story,Attchd,North_Ames,42.0416529,-93.605384
1969,Typical,Typical,11606,1,135000,2,9,Pave,Two_Story,Attchd,North_Ames,42.038888,-93.605388
1900,Fair,No_Garage,9392,1,44000,0,5,Pave,One_Story,No_Garage,Iowa_DOT_and_Rail_Road,42.023222,-93.605421
1963,Typical,Typical,25286,1,132250,0,5,Pave,One_Story,Attchd,Mitchell,41.993107,-93.605507
1958,Typical,Typical,9000,1,113500,1,5,Pave,One_Story,Basment,North_Ames,42.038811,-93.60552
1960,Typical,Typical,10920,1,157000,1,5,Pave,One_Story,Attchd,North_Ames,42.038686,-93.605659
1957,Typical,Typical,16321,1,207500,2,6,Pave,One_Story,Attchd,North_Ames,42.03902,-93.605727
1962,Typical,Typical,10205,1,134500,0,6,Pave,SFoyer,Attchd,North_Ames,42.03548,-93.605839
1960,Typical,Typical,8000,1,156500,2,6,Pave,One_Story,Attchd,North_Ames,42.034685,-93.605942
1962,Typical,Typical,10000,1,160000,0,5,Pave,One_Story,Attchd,North_Ames,42.034748,-93.605943
1959,Typical,Typical,8000,1,138000,0,6,Pave,SLvl,Attchd,North_Ames,42.035706,-93.605968
1959,Typical,Typical,7500,1,152000,0,6,Pave,One_Story,Attchd,North_Ames,42.035862,-93.605968
1959,Typical,Typical,7500,1,154000,0,6,Pave,One_Story,Attchd,North_Ames,42.03594,-93.605969
1959,Typical,Typical,9750,1,110000,0,5,Pave,One_Story,Detchd,Old_Town,42.0272517,-93.6059697
1962,Typical,Typical,8000,1,125900,0,6,Pave,One_Story,Attchd,North_Ames,42.037006,-93.60597
1959,Typical,Typical,8000,1,159000,0,6,Pave,One_Story,Attchd,North_Ames,42.037162,-93.605971
1958,Typical,Typical,9750,1,125000,0,5,Pave,One_Story,Detchd,Old_Town,42.0272703,-93.606195
1954,Typical,Typical,12150,2,131500,0,7,Pave,One_and_Half_Fin,Attchd,Old_Town,42.02774,-93.606196
1964,Typical,Typical,14137,1,173000,0,6,Pave,SFoyer,More_Than_Two_Types,Mitchell,41.993185,-93.606374
1961,Typical,Typical,10800,2,183000,2,6,Pave,One_Story,Attchd,North_Ames,42.041874,-93.606508
1960,Typical,Typical,17600,2,157500,2,6,Pave,One_Story,Attchd,North_Ames,42.040766,-93.606573
1979,Typical,Typical,12150,2,183500,1,5,Pave,SFoyer,BuiltIn,Mitchell,41.994357,-93.606577
1900,Typical,Typical,8712,1,102776,0,7,Pave,One_and_Half_Fin,Detchd,Iowa_DOT_and_Rail_Road,42.022653,-93.606593
1991,Typical,No_Garage,10712,1,93500,0,5,Pave,One_Story,No_Garage,Mitchell,41.98651,-93.606641
1978,Typical,Typical,7540,1,156000,1,5,Pave,SFoyer,Attchd,Mitchell,41.994207,-93.606672
1993,Good,Typical,7706,1,131250,0,5,Pave,SLvl,Attchd,Mitchell,41.987535,-93.606688
1978,Typical,Typical,8385,2,145000,0,10,Pave,One_Story,More_Than_Two_Types,Mitchell,41.994357,-93.606736
1958,Typical,Typical,7315,1,140000,1,6,Pave,One_Story,Attchd,North_Ames,42.036002,-93.60674
1962,Typical,Typical,18275,3,277500,2,9,Pave,Two_Story,Attchd,North_Ames,42.040768,-93.60674
1960,Typical,Typical,7635,1,148000,0,6,Pave,One_Story,Detchd,North_Ames,42.034851,-93.606742
1959,Typical,Typical,7560,1,133700,0,6,Pave,One_Story,Attchd,North_Ames,42.036053,-93.606743
1961,Typical,Typical,7000,1,146000,0,6,Pave,One_Story,Attchd,North_Ames,42.034708,-93.606744
1961,Typical,Typical,7000,1,99000,0,7,Pave,One_Story,Attchd,North_Ames,42.034564,-93.606746
1961,Typical,No_Garage,8000,2,141000,0,10,Pave,One_Story,No_Garage,North_Ames,42.034614,-93.606746
1946,Good,Typical,7311,1,46500,0,3,Pave,One_Story,Detchd,Old_Town,42.032008,-93.606764
1977,Fair,Typical,33983,1,196000,2,6,Pave,One_Story,Attchd,Mitchell,41.990264,-93.60678
1960,Typical,Typical,7903,1,152000,0,6,Pave,One_Story,Attchd,North_Ames,42.037084,-93.606782
1959,Typical,Typical,7931,1,132500,0,6,Pave,One_Story,Attchd,North_Ames,42.037214,-93.606786
1923,Typical,Typical,8520,1,99500,0,5,Pave,One_Story,Detchd,Old_Town,42.030196,-93.606788
1960,Typical,Typical,7931,1,155000,1,6,Pave,One_Story,Detchd,North_Ames,42.037291,-93.606788
1923,Typical,Typical,8520,1,100000,0,5,Pave,One_Story,Detchd,Old_Town,42.030311,-93.606789
1928,Good,Typical,8520,1,105900,0,5,Pave,One_Story,Detchd,Old_Town,42.030331,-93.606789
1923,Fair,Fair,9656,1,12789,1,5,Pave,One_Story,Detchd,Old_Town,42.030388,-93.606789
1949,Typical,No_Garage,12205,2,65000,0,6,Pave,One_Story,No_Garage,Old_Town,42.0311,-93.606802
1920,Typical,Fair,5747,1,64000,0,5,Pave,One_Story,Detchd,Old_Town,42.031138,-93.606803
1910,Typical,No_Garage,5925,1,37900,0,6,Pave,One_and_Half_Fin,No_Garage,Old_Town,42.032227,-93.606841
1960,Typical,Typical,20000,1,131000,1,7,Pave,One_Story,Detchd,Mitchell,41.987686,-93.606842
1900,Typical,Fair,5925,1,85000,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.032276,-93.606842
1940,Good,Fair,5925,1,45000,0,4,Pave,One_Story,Detchd,Old_Town,42.032301,-93.606842
1992,Typical,No_Garage,10441,1,132000,0,6,Pave,SFoyer,No_Garage,Mitchell,41.98651,-93.606847
1962,Typical,Typical,26142,1,157900,0,6,Pave,One_Story,Attchd,Mitchell,41.988729,-93.606856
1937,Typical,Typical,5925,1,89471,0,7,Pave,One_Story,Detchd,Old_Town,42.033313,-93.606857
1918,Fair,No_Garage,4761,1,64500,0,5,Pave,One_and_Half_Unf,No_Garage,Iowa_DOT_and_Rail_Road,42.02297,-93.606869
1960,Typical,Typical,7910,2,127000,0,7,Pave,SLvl,Basment,North_Ames,42.035813,-93.60688
1958,Typical,Typical,7560,1,139000,0,6,Pave,One_Story,Attchd,North_Ames,42.035968,-93.606889
1958,Typical,Typical,7350,1,128000,0,6,Pave,One_Story,Attchd,North_Ames,42.03602,-93.606891
1960,Typical,No_Garage,8512,2,119000,0,8,Pave,One_Story,No_Garage,North_Ames,42.034829,-93.606892
1959,Typical,Typical,7945,1,141000,0,6,Pave,One_Story,Attchd,North_Ames,42.034757,-93.606893
1967,Good,Typical,11275,2,242000,1,11,Pave,SLvl,BuiltIn,North_Ames,42.041119,-93.606905
1992,Typical,Typical,10429,1,130000,0,6,Pave,Two_Story,Detchd,Mitchell,41.986509,-93.606925
1960,Typical,Typical,7000,1,135000,0,6,Pave,One_Story,Attchd,North_Ames,42.037106,-93.606932
2002,Typical,Typical,12864,1,245000,1,4,Pave,One_Story,Attchd,Mitchell,41.995973,-93.606933
2000,Typical,Typical,10125,2,251000,1,7,Pave,Two_Story,BuiltIn,Mitchell,41.996888,-93.606944
2004,Typical,Typical,12118,2,240000,1,7,Pave,One_Story,Attchd,Mitchell,41.997119,-93.607055
1910,Typical,Typical,9720,1,146500,0,8,Pave,Two_Story,Detchd,Old_Town,42.027227,-93.607058
1922,Typical,Typical,10560,1,140750,0,6,Pave,Two_Story,Detchd,Old_Town,42.028165,-93.607088
1961,Typical,No_Garage,8513,2,130000,0,10,Pave,One_Story,No_Garage,North_Ames,42.0347301,-93.6071073
1961,Typical,Fair,27697,1,80000,0,6,Pave,One_Story,Attchd,Mitchell,41.989905,-93.607114
1963,Typical,Typical,10090,2,172000,2,6,Pave,SLvl,BuiltIn,North_Ames,42.039338,-93.607117
2002,Typical,Typical,13265,2,271000,2,7,Pave,One_Story,Attchd,Mitchell,41.997124,-93.607121
2006,Typical,No_Garage,17217,1,84500,0,6,Pave,One_Story,No_Garage,Mitchell,41.990054,-93.607142
1960,Typical,Typical,12929,1,148000,0,5,Pave,One_Story,CarPort,North_Ames,42.039987,-93.607174
1910,Typical,Typical,7740,1,125500,0,6,Pave,Two_Story,Detchd,Old_Town,42.028164,-93.607238
2003,Typical,Typical,12822,1,239686,1,6,Pave,One_and_Half_Fin,Attchd,Mitchell,41.996672,-93.607252
1959,Typical,Typical,8910,1,159500,1,6,Pave,One_Story,BuiltIn,North_Ames,42.0385,-93.607257
1959,Good,Typical,9830,1,162000,1,7,Pave,One_Story,Detchd,North_Ames,42.040085,-93.607275
1967,Typical,Typical,25000,2,143000,0,8,Pave,One_Story,Attchd,Mitchell,41.9927922,-93.6072813
1996,Typical,Typical,23730,3,300000,0,7,Pave,One_Story,Attchd,Mitchell,41.99507,-93.607342
1961,Good,Typical,32463,1,168000,1,7,Pave,One_Story,More_Than_Two_Types,Mitchell,41.991211,-93.607395
1962,Typical,Typical,9247,1,171000,1,8,Pave,Two_Story,Attchd,North_Ames,42.040021,-93.607422
1965,Typical,Typical,15300,1,169000,1,7,Pave,One_Story,Attchd,Mitchell,41.99321,-93.60743
2002,Typical,Typical,10000,2,215000,1,6,Pave,One_Story,Attchd,Mitchell,41.995218,-93.607551
1890,Typical,Fair,10800,2,184000,1,10,Pave,Two_Story,Detchd,Old_Town,42.0273991,-93.6075521
1963,Typical,Typical,10184,1,165000,1,6,Pave,SLvl,Attchd,North_Ames,42.040105,-93.607582
1983,Good,Typical,9187,1,134000,0,5,Pave,One_Story,Attchd,Mitchell,41.994206,-93.607597
1971,Typical,No_Garage,9400,2,139000,0,8,Pave,Two_Story,No_Garage,Mitchell,41.993253,-93.607622
1910,Typical,Typical,7200,1,85000,0,4,Pave,One_Story,Detchd,Old_Town,42.0282044,-93.6076506
1963,Typical,Typical,10143,1,154000,0,6,Pave,One_Story,Attchd,North_Ames,42.04015,-93.607655
1880,Typical,Typical,18386,3,295000,1,10,Pave,Two_and_Half_Fin,Attchd,Old_Town,42.0304823,-93.6077128
1957,Typical,Typical,6000,1,112500,0,5,Pave,One_Story,Attchd,Old_Town,42.032094,-93.607713
1920,Typical,Typical,6000,1,108500,0,5,Pave,One_Story,Detchd,Old_Town,42.032357,-93.607723
1954,Typical,Typical,6000,1,107900,0,4,Pave,One_Story,Detchd,Old_Town,42.032381,-93.607724
1955,Good,Typical,5820,1,126175,0,6,Pave,One_Story,Attchd,Old_Town,42.03146,-93.607744
1896,Fair,Typical,8712,1,50138,0,5,Grvl,One_Story,Detchd,Iowa_DOT_and_Rail_Road,42.02152,-93.60775
1946,Typical,Good,9000,1,140000,1,5,Pave,One_and_Half_Fin,Detchd,Old_Town,42.033249,-93.607771
1954,Typical,Typical,6000,2,93000,0,7,Pave,One_and_Half_Fin,BuiltIn,Old_Town,42.033579,-93.607776
1955,Good,Typical,7200,1,150000,0,6,Pave,One_and_Half_Fin,Detchd,North_Ames,42.034636,-93.607799
1954,Typical,Typical,7200,1,109500,0,4,Pave,One_Story,Attchd,North_Ames,42.034801,-93.607801
1951,Typical,Typical,7200,1,134800,0,5,Pave,One_Story,Detchd,North_Ames,42.034848,-93.607801
1952,Good,Typical,7200,1,118900,0,4,Pave,One_Story,Detchd,North_Ames,42.03572,-93.607814
1955,Typical,Typical,6000,1,135500,0,5,Pave,One_Story,Detchd,Old_Town,42.032064,-93.607862
1954,Typical,Typical,6390,1,112500,0,4,Pave,One_and_Half_Unf,Detchd,North_Ames,42.034564,-93.607948
1951,Typical,Typical,7200,1,94000,1,5,Pave,One_Story,Detchd,North_Ames,42.037125,-93.607957
1950,Typical,Typical,7200,1,119000,0,6,Pave,One_Story,Attchd,North_Ames,42.037203,-93.607957
1950,Typical,Typical,7200,1,129000,0,5,Pave,One_Story,Detchd,North_Ames,42.035876,-93.607963
1950,Typical,Typical,7200,1,102000,1,6,Pave,One_Story,Attchd,North_Ames,42.035954,-93.607963
1996,Typical,Typical,6710,0,140000,0,3,Pave,SFoyer,Attchd,Mitchell,41.993356,-93.608192
